,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
0,SVR_Wallmart_1_1_sigmoid_0.1_0.9_scale,1,1,0.007609128952026367,0.8489425283658137,1.1400352941745542,0.9213807727350369,0.6996723410519508
1,SVR_Wallmart_1_2_sigmoid_0.1_0.9_scale,1,2,0.023430824279785156,0.7514653630952647,2.9310477185507753,0.8668710187192006,0.6392633657699276
2,SVR_Wallmart_1_3_sigmoid_0.1_0.9_scale,1,3,0.07811784744262695,3.293091138707116,9.499711096806262,1.8146876146342974,1.4937574640853193
3,SVR_Wallmart_1_4_sigmoid_0.1_0.9_scale,1,4,0.1322615146636963,2.561747432880197,7.4009577551128585,1.600545979620766,1.2672372197331547
4,SVR_Wallmart_1_5_sigmoid_0.1_0.9_scale,1,5,0.2171766757965088,4.98596325223004,10.417636130138852,2.2329270593169945,1.7741323338430353
5,SVR_Wallmart_2_1_sigmoid_0.5_0.1_auto,2,1,0.009575366973876953,0.9387597328714999,1.7747445478220822,0.9688961414266752,0.703039802226746
6,SVR_Wallmart_2_2_sigmoid_0.5_0.1_auto,2,2,0.02604222297668457,0.9441030646052241,1.8138883773826415,0.9716496614547983,0.704230036228057
7,SVR_Wallmart_2_3_sigmoid_0.5_0.1_auto,2,3,0.06392383575439453,8.435025557923762,6.359880515916657,2.904311546291782,1.2734753917602923
8,SVR_Wallmart_2_4_sigmoid_0.5_0.1_auto,2,4,0.10953450202941895,8.472431793097718,6.448109290146242,2.9107441991864755,1.2761994043258738
9,SVR_Wallmart_2_5_sigmoid_0.5_0.1_auto,2,5,0.16984152793884277,8.475111725771042,6.454090204494625,2.9112045145903167,1.2764014657360794
10,SVR_Wallmart_3_1_sigmoid_0.3_0.2_auto,3,1,0.009567022323608398,0.9362027266087415,1.7408628232790686,0.9675756955446646,0.702702701507813
11,SVR_Wallmart_3_2_sigmoid_0.3_0.2_auto,3,2,0.023051023483276367,0.9385807075568809,1.7587172911115,0.9688037507962493,0.7032231665526595
12,SVR_Wallmart_3_3_sigmoid_0.3_0.2_auto,3,3,0.05881237983703613,3.8039726962961993,4.30511153870144,1.9503775778797805,1.0389086888963954
13,SVR_Wallmart_3_4_sigmoid_0.3_0.2_auto,3,4,0.09904694557189941,3.8367783252145893,4.423420960383741,1.9587695947238382,1.041708678687218
14,SVR_Wallmart_3_5_sigmoid_0.3_0.2_auto,3,5,0.15256333351135254,3.8347771191282423,4.415711498771639,1.9582586956600607,1.0415230529579749
15,SVR_Wallmart_4_1_linear_0.8_0.9_auto,4,1,0.020094871520996094,0.7035157232633473,3.179621052857571,0.8387584415452087,0.6904047623844918
16,SVR_Wallmart_4_2_linear_0.8_0.9_auto,4,2,0.10198450088500977,0.6516205673986791,2.813406655625956,0.8072301824130953,0.6523615927347881
17,SVR_Wallmart_4_3_linear_0.8_0.9_auto,4,3,0.30903196334838867,0.5915884208444926,2.3922120902605903,0.7691478536955639,0.6211963675960143
18,SVR_Wallmart_4_4_linear_0.8_0.9_auto,4,4,0.46933817863464355,0.5875708084851256,2.3294580063766013,0.7665316748087619,0.6175455447388223
19,SVR_Wallmart_4_5_linear_0.8_0.9_auto,4,5,0.3811969757080078,0.5445763193538682,2.27474393633178,0.7379541444790917,0.585547134578007
20,SVR_Wallmart_5_1_linear_1_0.4_scale,5,1,0.05639934539794922,0.5136619957674083,2.4726566584622134,0.7167021667104184,0.5425503722964129
21,SVR_Wallmart_5_2_linear_1_0.4_scale,5,2,0.499584436416626,0.49698131811599194,2.048806985201177,0.7049690192597061,0.5385599773411462
22,SVR_Wallmart_5_3_linear_1_0.4_scale,5,3,0.9382226467132568,0.4737169369541453,2.239427864025584,0.6882709763996628,0.5196635075981992
23,SVR_Wallmart_5_4_linear_1_0.4_scale,5,4,1.416947841644287,0.4646971562974083,1.9916174674833451,0.6816869929061345,0.511798672714126
24,SVR_Wallmart_5_5_linear_1_0.4_scale,5,5,1.97275710105896,0.4586854185959759,1.969988433067768,0.6772631826668093,0.5031113935546752
25,SVR_Wallmart_6_1_sigmoid_0.5_0.2_auto,6,1,0.008772850036621094,0.9332705590729617,1.7338781141436215,0.9660592937666723,0.7018247894331189
26,SVR_Wallmart_6_2_sigmoid_0.5_0.2_auto,6,2,0.022988557815551758,0.9356386339583296,1.7517325819760814,0.9672841536789123,0.7023452544779676
27,SVR_Wallmart_6_3_sigmoid_0.5_0.2_auto,6,3,0.057700395584106445,8.388073834662832,6.226231150750937,2.896217159444856,1.270441580153919
28,SVR_Wallmart_6_4_sigmoid_0.5_0.2_auto,6,4,0.09645605087280273,8.436031975877675,6.351282371915927,2.9044848038641335,1.2734038007156239
29,SVR_Wallmart_6_5_sigmoid_0.5_0.2_auto,6,5,0.15216398239135742,8.431405421786126,6.337951573029636,2.90368824459275,1.2730725379646852
30,SVR_Wallmart_7_1_sigmoid_0.1_0.3_scale,7,1,0.013055086135864258,0.8570123260391882,2.3824312755207218,0.925749602235501,0.7040940699309414
31,SVR_Wallmart_7_2_sigmoid_0.1_0.3_scale,7,2,0.04343247413635254,1.1697942588547565,5.545922622641823,1.0815702745798612,0.8607354323226509
32,SVR_Wallmart_7_3_sigmoid_0.1_0.3_scale,7,3,0.09826469421386719,3.6513946281912406,10.122057964074463,1.9108622734753127,1.567888840784856
33,SVR_Wallmart_7_4_sigmoid_0.1_0.3_scale,7,4,0.17399191856384277,2.9670878103880085,8.195635525993112,1.722523674841077,1.3893339385623977
34,SVR_Wallmart_7_5_sigmoid_0.1_0.3_scale,7,5,0.2652006149291992,5.135919572592407,10.789064673621402,2.266256731394836,1.8266732326028057
35,SVR_Wallmart_8_1_sigmoid_1_0.2_auto,8,1,0.008838891983032227,0.9262936819217998,1.7198907216282275,0.9624415212997618,0.7001475948510728
36,SVR_Wallmart_8_2_sigmoid_1_0.2_auto,8,2,0.023028135299682617,0.928636991650237,1.7372027442652616,0.9636581300701184,0.7005884237922905
37,SVR_Wallmart_8_3_sigmoid_1_0.2_auto,8,3,0.05739641189575195,29.164591557997834,11.055935597731091,5.400425127524484,1.8513181566935029
38,SVR_Wallmart_8_4_sigmoid_1_0.2_auto,8,4,0.09573626518249512,29.26467732557461,11.182116696470953,5.409683662246306,1.8545714019158857
39,SVR_Wallmart_8_5_sigmoid_1_0.2_auto,8,5,0.15110278129577637,29.266914932508918,11.183056543708712,5.409890473245176,1.8546308251308785
40,SVR_Wallmart_9_1_linear_0.5_0.2_auto,9,1,0.11603713035583496,0.49456418556975235,2.634885308127162,0.7032525759424934,0.5230230875559972
41,SVR_Wallmart_9_2_linear_0.5_0.2_auto,9,2,0.2947514057159424,0.484894122628281,2.0720418352646526,0.696343394187294,0.5187491782915871
42,SVR_Wallmart_9_3_linear_0.5_0.2_auto,9,3,0.5134551525115967,0.45663497076892534,2.2158235828835675,0.6757477123667718,0.4925529784023888
43,SVR_Wallmart_9_4_linear_0.5_0.2_auto,9,4,0.9966030120849609,0.45375550229693723,2.0444522413068458,0.6736137634408439,0.49329440186023094
44,SVR_Wallmart_9_5_linear_0.5_0.2_auto,9,5,1.2908451557159424,0.4463045861260398,2.046409885753036,0.6680603162335268,0.48229315587315397
45,SVR_Wallmart_10_1_sigmoid_0.8_0.1_auto,10,1,0.009185791015625,0.9344888820057622,1.7644815675300323,0.9666896513389197,0.701774502821306
46,SVR_Wallmart_10_2_sigmoid_0.8_0.1_auto,10,2,0.025615215301513672,0.9397997988488657,1.8033132767805067,0.9694327201249531,0.7029127680952338
47,SVR_Wallmart_10_3_sigmoid_0.8_0.1_auto,10,3,0.0633244514465332,19.311269196340692,9.245674810055462,4.394458919632847,1.6214211292708267
48,SVR_Wallmart_10_4_sigmoid_0.8_0.1_auto,10,4,0.10647320747375488,19.377338500861143,9.352612925995617,4.401969843247582,1.624729310651346
49,SVR_Wallmart_10_5_sigmoid_0.8_0.1_auto,10,5,0.16957330703735352,19.385022667652976,9.364959861242347,4.402842566757637,1.6251444683438336
50,SVR_Wallmart_11_1_sigmoid_0.3_0.9_auto,11,1,0.005249500274658203,0.8564754605933256,1.0140826898113053,0.9254595942521345,0.6987607453060518
51,SVR_Wallmart_11_2_sigmoid_0.3_0.9_auto,11,2,0.010175704956054688,0.8525984809188709,0.9935514802104473,0.9233625944984294,0.700397552944529
