,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
0,GRU_Wallmart_1_1_800_90.0_1.0_240.0_0.56_adam_3.291083623271962e-05,1,1,13.044491291046143,0.8303928971290588,0.9112589359283447,0.6617913842201233,139.00595092773438
1,GRU_Wallmart_1_2_800_90.0_1.0_240.0_0.56_adam_3.291083623271962e-05,1,2,23.882543325424194,0.6129644513130188,0.7829204201698303,0.6209696531295776,195.03900146484375
2,GRU_Wallmart_1_3_800_90.0_1.0_240.0_0.56_adam_3.291083623271962e-05,1,3,27.64472794532776,0.5132998824119568,0.716449499130249,0.5538548231124878,180.44239807128906
3,GRU_Wallmart_1_4_800_90.0_1.0_240.0_0.56_adam_3.291083623271962e-05,1,4,41.2951455116272,0.48996007442474365,0.6999714970588684,0.5274046063423157,184.8979034423828
4,GRU_Wallmart_1_5_800_90.0_1.0_240.0_0.56_adam_3.291083623271962e-05,1,5,34.15925717353821,0.47653013467788696,0.6903116106987,0.5070372223854065,183.77154541015625
5,GRU_Wallmart_2_1_800_60.0_1.0_500.0_0.61_adam_2.424783813391202e-05,2,1,6.7070910930633545,0.809249997138977,0.8995832204818726,0.7087787985801697,149.73330688476562
6,GRU_Wallmart_2_2_800_60.0_1.0_500.0_0.61_adam_2.424783813391202e-05,2,2,25.58092474937439,0.5203403234481812,0.7213461995124817,0.5596469640731812,177.32958984375
7,GRU_Wallmart_2_3_800_60.0_1.0_500.0_0.61_adam_2.424783813391202e-05,2,3,27.768386125564575,0.5244373083114624,0.7241804003715515,0.5599542856216431,178.8108367919922
8,GRU_Wallmart_2_4_800_60.0_1.0_500.0_0.61_adam_2.424783813391202e-05,2,4,45.898300647735596,0.4814304709434509,0.693851888179779,0.5198936462402344,186.43731689453125
9,GRU_Wallmart_2_5_800_60.0_1.0_500.0_0.61_adam_2.424783813391202e-05,2,5,22.43506669998169,0.5097398161888123,0.7139606475830078,0.5323323607444763,162.5431365966797
10,GRU_Wallmart_3_1_800_50.0_2.0_120.0_0.64_adam_4.628745939129856e-05,3,1,22.202897310256958,0.6644905805587769,0.8151628971099854,0.6128793954849243,139.82763671875
11,GRU_Wallmart_3_2_800_50.0_2.0_120.0_0.64_adam_4.628745939129856e-05,3,2,52.69866108894348,0.487886518239975,0.698488712310791,0.5196471214294434,181.74420166015625
12,GRU_Wallmart_3_3_800_50.0_2.0_120.0_0.64_adam_4.628745939129856e-05,3,3,45.882086992263794,0.5164108276367188,0.7186172604560852,0.5509285926818848,170.9839630126953
13,GRU_Wallmart_3_4_800_50.0_2.0_120.0_0.64_adam_4.628745939129856e-05,3,4,56.67034935951233,0.48377037048339844,0.6955360174179077,0.526995837688446,188.88426208496094
14,GRU_Wallmart_3_5_800_50.0_2.0_120.0_0.64_adam_4.628745939129856e-05,3,5,43.383904457092285,0.49111706018447876,0.700797438621521,0.5198373794555664,180.37823486328125
15,GRU_Wallmart_4_1_800_50.0_2.0_640.0_0.66_adam_3.542960236450528e-05,4,1,5.988999605178833,0.8314784169197083,0.9118543863296509,0.6946514844894409,115.84121704101562
16,GRU_Wallmart_4_2_800_50.0_2.0_640.0_0.66_adam_3.542960236450528e-05,4,2,26.89704656600952,0.4970656931400299,0.7050288319587708,0.5329689383506775,173.02992248535156
