index,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
32,LSTM_Wallmart_7_3_800_50.0_2.0_128.0_0.55_adam_3.2249303347606646e-05,7,3,129.9982795715332,0.16060657799243927,0.40075749158859253,0.26484712958335876,127.56179809570312
33,LSTM_Wallmart_7_4_800_50.0_2.0_128.0_0.55_adam_3.2249303347606646e-05,7,4,109.0596170425415,0.08197750151157379,0.2863171398639679,0.19458313286304474,96.42185974121094
34,LSTM_Wallmart_7_5_800_50.0_2.0_128.0_0.55_adam_3.2249303347606646e-05,7,5,55.22396373748779,0.08894900977611542,0.2982431948184967,0.2167498767375946,99.65764617919922
35,LSTM_Wallmart_8_1_800_80.0_2.0_192.0_0.69_adam_4.595106805374576e-05,8,1,63.19672870635986,0.4061102569103241,0.6372678279876709,0.43491217494010925,275.7876281738281
36,LSTM_Wallmart_8_2_800_80.0_2.0_192.0_0.69_adam_4.595106805374576e-05,8,2,66.60480880737305,0.1327981948852539,0.36441487073898315,0.2657843828201294,123.28663635253906
37,LSTM_Wallmart_8_3_800_80.0_2.0_192.0_0.69_adam_4.595106805374576e-05,8,3,45.36034917831421,0.13749822974205017,0.3708075284957886,0.2783347964286804,145.0904541015625
38,LSTM_Wallmart_8_4_800_80.0_2.0_192.0_0.69_adam_4.595106805374576e-05,8,4,94.51021814346313,0.07206358760595322,0.2684466242790222,0.19142475724220276,102.20134735107422
39,LSTM_Wallmart_8_5_800_80.0_2.0_192.0_0.69_adam_4.595106805374576e-05,8,5,34.1785888671875,0.1028369888663292,0.3206820487976074,0.22846351563930511,105.15663146972656
40,LSTM_Wallmart_9_1_800_80.0_3.0_544.0_0.46_adam_2.5955535784115504e-05,9,1,8.238171100616455,0.8267540335655212,0.9092601537704468,0.6717846393585205,100.3162612915039
41,LSTM_Wallmart_9_2_800_80.0_3.0_544.0_0.46_adam_2.5955535784115504e-05,9,2,69.75221300125122,0.1284593939781189,0.35841232538223267,0.2603640854358673,134.8819122314453
42,LSTM_Wallmart_9_3_800_80.0_3.0_544.0_0.46_adam_2.5955535784115504e-05,9,3,44.52469301223755,0.14828602969646454,0.3850792646408081,0.28181684017181396,145.0819854736328
43,LSTM_Wallmart_9_4_800_80.0_3.0_544.0_0.46_adam_2.5955535784115504e-05,9,4,97.12931537628174,0.06662105023860931,0.25811052322387695,0.16808907687664032,85.53441619873047
44,LSTM_Wallmart_9_5_800_80.0_3.0_544.0_0.46_adam_2.5955535784115504e-05,9,5,52.65727734565735,0.0548534095287323,0.23420804738998413,0.17103086411952972,91.20793914794922
45,LSTM_Wallmart_10_1_800_90.0_3.0_256.0_0.7_adam_1.815629479800823e-05,10,1,9.22283387184143,0.8242135643959045,0.9078620672225952,0.6708460450172424,100.91259765625
46,LSTM_Wallmart_10_2_800_90.0_3.0_256.0_0.7_adam_1.815629479800823e-05,10,2,97.57092499732971,0.25196751952171326,0.5019636750221252,0.3407393991947174,126.1173095703125
47,LSTM_Wallmart_10_3_800_90.0_3.0_256.0_0.7_adam_1.815629479800823e-05,10,3,113.8081488609314,0.18468943238258362,0.4297550916671753,0.2947160005569458,150.97193908691406
48,LSTM_Wallmart_10_4_800_90.0_3.0_256.0_0.7_adam_1.815629479800823e-05,10,4,133.5843005180359,0.11215291172266006,0.3348923921585083,0.23294325172901154,121.54854583740234
49,LSTM_Wallmart_10_5_800_90.0_3.0_256.0_0.7_adam_1.815629479800823e-05,10,5,62.617329359054565,0.12863485515117645,0.35865703225135803,0.2548476755619049,112.06614685058594
50,LSTM_Wallmart_11_1_800_30.0_3.0_448.0_0.6_adam_1.2941436245256784e-05,11,1,11.114841222763062,0.8220503330230713,0.9066699147224426,0.671261191368103,100.58536529541016
51,LSTM_Wallmart_11_2_800_30.0_3.0_448.0_0.6_adam_1.2941436245256784e-05,11,2,188.16367149353027,0.19026952981948853,0.4361989498138428,0.29814526438713074,127.36744689941406
52,LSTM_Wallmart_11_3_800_30.0_3.0_448.0_0.6_adam_1.2941436245256784e-05,11,3,138.86552262306213,0.20842161774635315,0.45653218030929565,0.3103421926498413,161.44515991210938
53,LSTM_Wallmart_11_4_800_30.0_3.0_448.0_0.6_adam_1.2941436245256784e-05,11,4,265.28943824768066,0.07347562909126282,0.2710638642311096,0.18561729788780212,102.06575775146484
54,LSTM_Wallmart_11_5_800_30.0_3.0_448.0_0.6_adam_1.2941436245256784e-05,11,5,194.61245965957642,0.06113259494304657,0.24725006520748138,0.17931649088859558,95.59378814697266
55,LSTM_Wallmart_12_1_800_60.0_3.0_352.0_0.54_adam_2.9632821689697122e-05,12,1,11.856801271438599,0.8240763545036316,0.90778648853302,0.6717787384986877,102.0311508178711
56,LSTM_Wallmart_12_2_800_60.0_3.0_352.0_0.54_adam_2.9632821689697122e-05,12,2,107.26894664764404,0.16590715944766998,0.40731701254844666,0.28908199071884155,133.7213134765625
57,LSTM_Wallmart_12_3_800_60.0_3.0_352.0_0.54_adam_2.9632821689697122e-05,12,3,48.84811329841614,0.28463253378868103,0.5335096120834351,0.36420997977256775,187.14804077148438
58,LSTM_Wallmart_12_4_800_60.0_3.0_352.0_0.54_adam_2.9632821689697122e-05,12,4,125.5496289730072,0.06410051882266998,0.2531808018684387,0.16505414247512817,84.52156066894531
59,LSTM_Wallmart_12_5_800_60.0_3.0_352.0_0.54_adam_2.9632821689697122e-05,12,5,81.98096466064453,0.05147261917591095,0.22687578201293945,0.1623888462781906,77.76433563232422
60,LSTM_Wallmart_13_1_800_80.0_3.0_288.0_0.42_adam_1.7028178021622875e-05,13,1,8.732442855834961,0.8206821084022522,0.9059150815010071,0.6701265573501587,100.92058563232422
61,LSTM_Wallmart_13_2_800_80.0_3.0_288.0_0.42_adam_1.7028178021622875e-05,13,2,99.76359868049622,0.19716481864452362,0.4440324306488037,0.30573010444641113,123.68988037109375
62,LSTM_Wallmart_13_3_800_80.0_3.0_288.0_0.42_adam_1.7028178021622875e-05,13,3,84.06726598739624,0.13237060606479645,0.3638277053833008,0.2771048843860626,142.11170959472656
63,LSTM_Wallmart_13_4_800_80.0_3.0_288.0_0.42_adam_1.7028178021622875e-05,13,4,139.50762391090393,0.0822274461388588,0.28675326704978943,0.19360655546188354,99.6214599609375
64,LSTM_Wallmart_13_5_800_80.0_3.0_288.0_0.42_adam_1.7028178021622875e-05,13,5,40.18044424057007,0.11218153685331345,0.33493512868881226,0.2460419237613678,120.07133483886719
65,LSTM_Wallmart_14_1_800_30.0_3.0_192.0_0.59_adam_3.537388205153842e-05,14,1,10.508215188980103,0.8236271739006042,0.9075390696525574,0.6724052429199219,100.72024536132812
66,LSTM_Wallmart_14_2_800_30.0_3.0_192.0_0.59_adam_3.537388205153842e-05,14,2,115.24081659317017,0.20058009028434753,0.4478616714477539,0.3413928747177124,218.98178100585938
67,LSTM_Wallmart_14_3_800_30.0_3.0_192.0_0.59_adam_3.537388205153842e-05,14,3,247.61835384368896,0.15592576563358307,0.39487436413764954,0.26227858662605286,128.13278198242188
68,LSTM_Wallmart_14_4_800_30.0_3.0_192.0_0.59_adam_3.537388205153842e-05,14,4,164.8711256980896,0.06776277720928192,0.2603128254413605,0.17832882702350616,92.36404418945312
69,LSTM_Wallmart_14_5_800_30.0_3.0_192.0_0.59_adam_3.537388205153842e-05,14,5,74.08030867576599,0.09454954415559769,0.3074890971183777,0.21871986985206604,108.38272857666016
70,LSTM_Wallmart_15_1_800_80.0_1.0_96.0_0.44_adam_1.77630403582974e-05,15,1,51.393080949783325,0.7157065868377686,0.8459944128990173,0.65254807472229,250.41424560546875
71,LSTM_Wallmart_15_2_800_80.0_1.0_96.0_0.44_adam_1.77630403582974e-05,15,2,63.938802003860474,0.6328142881393433,0.7954962253570557,0.5404658317565918,297.9662780761719
72,LSTM_Wallmart_15_3_800_80.0_1.0_96.0_0.44_adam_1.77630403582974e-05,15,3,77.52987861633301,0.22988300025463104,0.4794611632823944,0.36364635825157166,132.4796142578125
73,LSTM_Wallmart_15_4_800_80.0_1.0_96.0_0.44_adam_1.77630403582974e-05,15,4,89.1943724155426,0.08350122720003128,0.28896579146385193,0.20673395693302155,125.5711898803711
74,LSTM_Wallmart_15_5_800_80.0_1.0_96.0_0.44_adam_1.77630403582974e-05,15,5,51.57971477508545,0.12453000247478485,0.3528880774974823,0.2506435215473175,95.32233428955078
75,LSTM_Wallmart_16_1_800_60.0_3.0_128.0_0.53_adam_4.595325498025982e-05,16,1,9.760795831680298,0.8230965733528137,0.9072467088699341,0.6710612177848816,101.66252136230469
76,LSTM_Wallmart_16_2_800_60.0_3.0_128.0_0.53_adam_4.595325498025982e-05,16,2,92.18330597877502,0.26046907901763916,0.5103617310523987,0.37418460845947266,193.35195922851562
77,LSTM_Wallmart_16_3_800_60.0_3.0_128.0_0.53_adam_4.595325498025982e-05,16,3,139.103924036026,0.11008871346712112,0.33179619908332825,0.2388724982738495,125.66798400878906
78,LSTM_Wallmart_16_4_800_60.0_3.0_128.0_0.53_adam_4.595325498025982e-05,16,4,98.68759560585022,0.06222815811634064,0.24945572018623352,0.16327884793281555,76.04218292236328
79,LSTM_Wallmart_16_5_800_60.0_3.0_128.0_0.53_adam_4.595325498025982e-05,16,5,49.658069372177124,0.08237660676240921,0.2870132327079773,0.20845595002174377,86.97808837890625
80,LSTM_Wallmart_17_1_800_70.0_3.0_448.0_0.6_adam_4.078756359994473e-05,17,1,8.489001989364624,0.8251973986625671,0.908403754234314,0.6704978942871094,101.77205657958984
81,LSTM_Wallmart_17_2_800_70.0_3.0_448.0_0.6_adam_4.078756359994473e-05,17,2,75.06660771369934,0.1624448597431183,0.4030444920063019,0.27724742889404297,118.0582275390625
82,LSTM_Wallmart_17_3_800_70.0_3.0_448.0_0.6_adam_4.078756359994473e-05,17,3,31.071160316467285,0.19478924572467804,0.4413493275642395,0.34976696968078613,176.5431365966797
83,LSTM_Wallmart_17_4_800_70.0_3.0_448.0_0.6_adam_4.078756359994473e-05,17,4,87.72005200386047,0.053828004747629166,0.23200862109661102,0.15142498910427094,72.51434326171875
84,LSTM_Wallmart_17_5_800_70.0_3.0_448.0_0.6_adam_4.078756359994473e-05,17,5,63.03378772735596,0.04753653332591057,0.2180287390947342,0.1547338217496872,77.18896484375
85,LSTM_Wallmart_18_1_800_30.0_2.0_576.0_0.65_adam_4.959829875801906e-05,18,1,105.14074277877808,0.21946477890014648,0.46847066283226013,0.33655595779418945,224.8365020751953
86,LSTM_Wallmart_18_2_800_30.0_2.0_576.0_0.65_adam_4.959829875801906e-05,18,2,71.35411381721497,0.17544016242027283,0.41885578632354736,0.30957096815109253,167.3742218017578
87,LSTM_Wallmart_18_3_800_30.0_2.0_576.0_0.65_adam_4.959829875801906e-05,18,3,147.94912242889404,0.1937447041273117,0.44016438722610474,0.26684969663619995,133.11288452148438
88,LSTM_Wallmart_18_4_800_30.0_2.0_576.0_0.65_adam_4.959829875801906e-05,18,4,105.85685420036316,0.05223167687654495,0.2285425066947937,0.1625683456659317,90.13836669921875
